
step 00000 | loss: 478.259546 | remaining: 300s 
step 00001 | loss: 477.137360 | remaining: 300s 
step 00002 | loss: 475.978692 | remaining: 300s 
step 00003 | loss: 474.783805 | remaining: 300s 
step 00004 | loss: 473.553043 | remaining: 300s 
step 00005 | loss: 472.286826 | remaining: 300s 
step 00006 | loss: 470.985650 | remaining: 300s 
step 00007 | loss: 469.650083 | remaining: 300s 
step 00008 | loss: 468.290737 | remaining: 300s 
step 00009 | loss: 466.947106 | remaining: 300s 
step 00010 | loss: 465.637248 | remaining: 300s 
step 00011 | loss: 464.403654 | remaining: 300s 
step 00012 | loss: 463.255161 | remaining: 300s 
step 00013 | loss: 462.188461 | remaining: 300s 
step 00014 | loss: 461.191357 | remaining: 300s 
step 00015 | loss: 460.253790 | remaining: 300s 
step 00016 | loss: 459.380803 | remaining: 300s 
step 00017 | loss: 458.565863 | remaining: 300s 
step 00018 | loss: 457.799180 | remaining: 300s 
step 00019 | loss: 457.072464 | remaining: 300s 
step 00020 | loss: 456.379054 | remaining: 300s 
step 00021 | loss: 455.713881 | remaining: 300s 
step 00022 | loss: 455.073506 | remaining: 300s 
step 00023 | loss: 454.455204 | remaining: 300s 
step 00024 | loss: 453.856236 | remaining: 300s 
step 00025 | loss: 453.273971 | remaining: 300s 
step 00026 | loss: 452.706290 | remaining: 300s 
step 00027 | loss: 452.151406 | remaining: 300s 
step 00028 | loss: 451.607801 | remaining: 300s 
step 00029 | loss: 451.073885 | remaining: 300s 
step 00030 | loss: 450.548525 | remaining: 300s 
step 00031 | loss: 450.030572 | remaining: 300s 
step 00032 | loss: 449.519070 | remaining: 300s 
step 00033 | loss: 449.013178 | remaining: 300s 
step 00034 | loss: 448.512792 | remaining: 300s 
step 00035 | loss: 448.017764 | remaining: 300s 
step 00036 | loss: 447.527505 | remaining: 300s 
step 00037 | loss: 447.041902 | remaining: 300s 
step 00038 | loss: 446.560499 | remaining: 300s 
step 00039 | loss: 446.082834 | remaining: 300s 
step 00040 | loss: 445.608504 | remaining: 300s 
step 00041 | loss: 445.137190 | remaining: 300s 
step 00042 | loss: 444.669116 | remaining: 300s 
step 00043 | loss: 444.203570 | remaining: 300s 
step 00044 | loss: 443.740492 | remaining: 300s 
step 00045 | loss: 443.279548 | remaining: 300s 
step 00046 | loss: 442.820771 | remaining: 300s 
step 00047 | loss: 442.363744 | remaining: 300s 
step 00048 | loss: 441.908385 | remaining: 300s 
step 00049 | loss: 441.454556 | remaining: 300s 
step 00050 | loss: 441.002136 | remaining: 300s 
step 00051 | loss: 440.550981 | remaining: 300s 
step 00052 | loss: 440.101016 | remaining: 300s 
step 00053 | loss: 439.652218 | remaining: 300s 
step 00054 | loss: 439.204992 | remaining: 300s 
step 00055 | loss: 438.759559 | remaining: 300s 
step 00056 | loss: 438.315740 | remaining: 300s 
step 00057 | loss: 437.873430 | remaining: 300s 
step 00058 | loss: 437.432485 | remaining: 300s 
step 00059 | loss: 436.992855 | remaining: 300s 
step 00060 | loss: 436.554550 | remaining: 300s 
step 00061 | loss: 436.117234 | remaining: 300s 
step 00062 | loss: 435.681045 | remaining: 299s 
step 00063 | loss: 435.245741 | remaining: 299s 
step 00064 | loss: 434.811400 | remaining: 299s 
step 00065 | loss: 434.377869 | remaining: 299s 
step 00066 | loss: 433.945266 | remaining: 299s 
step 00067 | loss: 433.513765 | remaining: 299s 
step 00068 | loss: 433.083097 | remaining: 299s 
step 00069 | loss: 432.653443 | remaining: 299s 
step 00070 | loss: 432.224741 | remaining: 299s 
step 00071 | loss: 431.796960 | remaining: 299s 
step 00072 | loss: 431.370026 | remaining: 299s 
step 00073 | loss: 430.943890 | remaining: 299s 
step 00074 | loss: 430.518512 | remaining: 299s 
step 00075 | loss: 430.093890 | remaining: 299s 
step 00076 | loss: 429.669980 | remaining: 299s 
step 00077 | loss: 429.246726 | remaining: 299s 
step 00078 | loss: 428.824102 | remaining: 299s 
step 00079 | loss: 428.402087 | remaining: 299s 
step 00080 | loss: 427.980659 | remaining: 299s 
step 00081 | loss: 427.559801 | remaining: 299s 
step 00082 | loss: 427.139507 | remaining: 299s 
step 00083 | loss: 426.719771 | remaining: 299s 
step 00084 | loss: 426.300557 | remaining: 299s 
step 00085 | loss: 425.881855 | remaining: 299s 
step 00086 | loss: 425.463665 | remaining: 299s 
step 00087 | loss: 425.045985 | remaining: 299s 
step 00088 | loss: 424.628786 | remaining: 299s 
step 00089 | loss: 424.212059 | remaining: 299s 
step 00090 | loss: 423.795816 | remaining: 299s 
step 00091 | loss: 423.380163 | remaining: 299s 
step 00092 | loss: 422.964860 | remaining: 299s 
step 00093 | loss: 422.550005 | remaining: 299s 
step 00094 | loss: 422.135593 | remaining: 299s 
step 00095 | loss: 421.721654 | remaining: 299s 
step 00096 | loss: 421.308715 | remaining: 299s 
step 00097 | loss: 420.896740 | remaining: 299s 
step 00098 | loss: 420.485483 | remaining: 299s 
step 00099 | loss: 420.075033 | remaining: 299s 
step 00100 | loss: 419.665479 | remaining: 299s 
step 00101 | loss: 419.256509 | remaining: 299s 
step 00102 | loss: 418.848261 | remaining: 299s 
step 00103 | loss: 418.440941 | remaining: 299s 
step 00104 | loss: 418.034402 | remaining: 299s 
step 00105 | loss: 417.628695 | remaining: 299s 
step 00106 | loss: 417.223753 | remaining: 299s 
step 00107 | loss: 416.819732 | remaining: 299s 
step 00108 | loss: 416.416952 | remaining: 299s 
step 00109 | loss: 416.015397 | remaining: 299s 
step 00110 | loss: 415.614874 | remaining: 299s 
step 00111 | loss: 415.215322 | remaining: 299s 
step 00112 | loss: 414.816726 | remaining: 299s 
step 00113 | loss: 414.419009 | remaining: 299s 
step 00114 | loss: 414.022171 | remaining: 299s 
step 00115 | loss: 413.626101 | remaining: 299s 
